timestamp,elapsed_s,bat_level,bat_voltage,bat_temp,charge_uAh,bat_status,cpu0_khz,cpu4_khz,cpu7_khz,t_cpu0,t_cpu7,t_gpu0,t_nsp0,t_nsp1,t_skin,t_shell,t_battery
23:02:32,1020,67,3978,380,3753000,3,1804800,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:02:42,1030,67,3978,380,3753000,3,1804800,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:02:53,1040,67,3978,380,3753000,3,364800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:03:03,1050,66,3960,382,3729000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:03:14,1060,66,3960,382,3729000,3,1459200,729600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:03:24,1070,66,3960,382,3729000,3,1344000,1497600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:03:34,1080,66,3960,382,3729000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:03:45,1090,66,3960,382,3729000,3,1804800,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:03:55,1100,66,3960,382,3729000,3,1689600,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:04:05,1110,66,3976,384,3706000,3,556800,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:04:16,1120,66,3976,384,3706000,3,556800,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:04:26,1130,66,3976,384,3706000,3,672000,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:04:36,1140,66,3976,384,3706000,3,1689600,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:04:47,1150,66,3976,384,3706000,3,1459200,1401600,1363200,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:04:57,1160,66,3976,384,3706000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:05:07,1170,66,3961,385,3683000,3,1689600,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:05:18,1180,66,3961,385,3683000,3,1459200,1708800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:05:28,1190,66,3961,385,3683000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:05:38,1200,65,3965,386,3671000,3,364800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:05:49,1210,65,3961,386,3666000,3,1017600,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:05:59,1220,65,3961,386,3666000,3,364800,1497600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:06:09,1230,65,3961,387,3660000,3,1804800,2035200,672000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:06:20,1240,65,3961,387,3660000,3,1459200,1401600,1363200,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:06:30,1250,65,3961,387,3660000,3,1132800,729600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:06:40,1260,65,3961,387,3660000,3,1459200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:06:51,1270,65,3961,387,3660000,3,1804800,1401600,2035200,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:07:01,1280,65,3965,388,3638000,3,1017600,1612800,1363200,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:07:12,1290,65,3965,388,3638000,3,364800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:07:22,1300,65,3965,388,3638000,3,672000,1401600,1363200,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:07:32,1310,65,3965,388,3638000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:07:43,1320,65,3965,388,3638000,3,902400,2035200,1363200,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:07:53,1330,65,3965,388,3638000,3,1804800,2572800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:08:04,1340,65,3960,389,3617000,3,556800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:08:14,1350,64,3960,389,3614000,3,1689600,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:08:24,1360,64,3960,389,3614000,3,787200,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:08:35,1370,64,3960,389,3614000,3,787200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:08:45,1380,64,3960,389,3614000,3,1574400,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:08:55,1390,64,3960,389,3614000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:09:06,1400,64,3957,390,3597000,3,1248000,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:09:16,1410,64,3957,390,3597000,3,1248000,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:09:27,1420,64,3957,390,3597000,3,1689600,1708800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:09:37,1430,64,3957,390,3597000,3,1804800,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:09:47,1440,64,3957,390,3597000,3,1804800,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:09:58,1450,64,3957,390,3597000,3,1804800,2035200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:10:08,1460,64,3954,390,3576000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:10:18,1470,64,3954,390,3576000,3,1689600,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:10:29,1480,64,3954,390,3576000,3,787200,1401600,576000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:10:39,1490,64,3954,390,3576000,3,1804800,1708800,1363200,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:10:49,1500,64,3954,390,3576000,3,672000,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:11:00,1510,64,3954,390,3576000,3,1248000,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:11:10,1520,63,3951,390,3556000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:11:20,1530,63,3951,390,3556000,3,1459200,1075200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:11:31,1540,63,3951,390,3556000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:11:41,1550,63,3951,390,3556000,3,1689600,2572800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:11:51,1560,63,3951,390,3556000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:12:02,1570,63,3949,390,3536000,3,1344000,1401600,576000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:12:12,1580,63,3949,390,3536000,3,787200,1497600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:12:22,1590,63,3949,390,3536000,3,1804800,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:12:33,1600,63,3949,390,3536000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:12:43,1610,63,3949,390,3536000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:12:54,1620,63,3949,390,3536000,3,787200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:13:04,1630,63,3942,391,3515000,3,1804800,1075200,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:13:14,1640,63,3942,391,3515000,3,1459200,1075200,1593600,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:13:25,1650,63,3942,391,3515000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:13:35,1660,63,3942,391,3515000,3,1459200,1190400,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:13:46,1670,63,3942,391,3515000,3,787200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
23:13:56,1680,62,3942,391,3499000,3,1017600,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,41.0,33.7
