03-20 18:35:40.420 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.6ms  P1a=3.6  GPU=2.7  copy=0.9  P3=14.3  P4(GPU)=2.8
03-20 18:35:41.622 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.9ms  P1a=4.0  GPU=3.8  copy=1.1  P3=14.6  P4(GPU)=2.8
03-20 18:35:42.820 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.3ms  P1a=4.1  GPU=2.8  copy=1.1  P3=14.5  P4(GPU)=2.9
03-20 18:35:44.020 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.9ms  P1a=3.2  GPU=2.8  copy=1.0  P3=14.7  P4(GPU)=2.8
03-20 18:35:45.218 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=24.9ms  P1a=3.3  GPU=2.8  copy=0.9  P3=13.3  P4(GPU)=2.7
03-20 18:35:46.422 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.4ms  P1a=3.4  GPU=4.2  copy=0.9  P3=15.3  P4(GPU)=2.8
03-20 18:35:47.622 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.0ms  P1a=4.1  GPU=2.7  copy=1.2  P3=15.2  P4(GPU)=3.0
03-20 18:35:48.917 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.0ms  P1a=3.8  GPU=2.7  copy=1.0  P3=15.5  P4(GPU)=2.8
03-20 18:35:50.116 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.1ms  P1a=3.6  GPU=2.7  copy=0.9  P3=15.3  P4(GPU)=2.6
03-20 18:35:51.315 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.3ms  P1a=3.7  GPU=2.7  copy=1.0  P3=14.4  P4(GPU)=2.6
03-20 18:35:52.517 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.5ms  P1a=4.1  GPU=2.9  copy=1.2  P3=14.5  P4(GPU)=2.8
03-20 18:35:53.717 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.7ms  P1a=3.9  GPU=2.7  copy=1.0  P3=14.3  P4(GPU)=3.0
03-20 18:35:54.915 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.0ms  P1a=3.2  GPU=2.8  copy=0.9  P3=13.9  P4(GPU)=3.2
03-20 18:35:56.114 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.0ms  P1a=3.3  GPU=2.7  copy=0.8  P3=13.6  P4(GPU)=2.7
03-20 18:35:57.315 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.9ms  P1a=3.4  GPU=2.8  copy=1.0  P3=15.2  P4(GPU)=2.6
03-20 18:35:58.516 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.1ms  P1a=3.5  GPU=2.8  copy=0.8  P3=15.3  P4(GPU)=2.6
03-20 18:35:59.717 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.6ms  P1a=3.6  GPU=2.8  copy=1.0  P3=14.6  P4(GPU)=3.0
03-20 18:36:01.017 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.8ms  P1a=3.6  GPU=2.7  copy=1.0  P3=15.2  P4(GPU)=2.7
03-20 18:36:02.216 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.4ms  P1a=3.5  GPU=2.7  copy=1.0  P3=14.4  P4(GPU)=2.6
03-20 18:36:03.417 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.9ms  P1a=3.5  GPU=2.7  copy=0.9  P3=14.4  P4(GPU)=2.8
03-20 18:36:04.615 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.9ms  P1a=3.1  GPU=2.8  copy=0.9  P3=14.0  P4(GPU)=2.8
03-20 18:36:05.816 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.5ms  P1a=3.0  GPU=2.7  copy=0.9  P3=14.6  P4(GPU)=2.7
03-20 18:36:07.015 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.1ms  P1a=3.2  GPU=2.7  copy=0.9  P3=14.4  P4(GPU)=2.6
03-20 18:36:08.217 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.6ms  P1a=3.2  GPU=2.7  copy=0.8  P3=15.3  P4(GPU)=2.7
03-20 18:36:09.417 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.2ms  P1a=3.6  GPU=2.8  copy=1.0  P3=14.4  P4(GPU)=2.8
03-20 18:36:10.616 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.5ms  P1a=3.2  GPU=2.7  copy=0.8  P3=15.0  P4(GPU)=2.6
03-20 18:36:11.818 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.7ms  P1a=3.4  GPU=2.8  copy=1.0  P3=14.5  P4(GPU)=3.1
03-20 18:36:13.109 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.1ms  P1a=3.3  GPU=2.8  copy=0.8  P3=13.7  P4(GPU)=2.7
03-20 18:36:14.310 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.1ms  P1a=3.4  GPU=2.8  copy=0.8  P3=14.8  P4(GPU)=2.6
03-20 18:36:15.509 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.4ms  P1a=3.0  GPU=2.6  copy=0.7  P3=14.5  P4(GPU)=2.9
03-20 18:36:16.710 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.5ms  P1a=3.4  GPU=2.8  copy=0.9  P3=13.5  P4(GPU)=2.9
03-20 18:36:17.911 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.1ms  P1a=3.5  GPU=2.7  copy=1.0  P3=14.6  P4(GPU)=2.8
03-20 18:36:19.110 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.5ms  P1a=3.1  GPU=2.7  copy=0.9  P3=14.2  P4(GPU)=2.6
03-20 18:36:20.311 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.2ms  P1a=3.2  GPU=2.8  copy=0.9  P3=15.2  P4(GPU)=2.8
03-20 18:36:21.512 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.1ms  P1a=3.7  GPU=2.8  copy=1.0  P3=15.3  P4(GPU)=2.7
03-20 18:36:22.709 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.3ms  P1a=3.4  GPU=2.8  copy=0.9  P3=13.6  P4(GPU)=2.6
03-20 18:36:23.911 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.7ms  P1a=3.4  GPU=2.7  copy=0.9  P3=14.1  P4(GPU)=3.2
03-20 18:36:25.200 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.7ms  P1a=4.0  GPU=2.8  copy=1.0  P3=13.9  P4(GPU)=2.6
03-20 18:36:26.401 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.9ms  P1a=4.2  GPU=2.7  copy=1.1  P3=14.5  P4(GPU)=2.7
03-20 18:36:27.600 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.8ms  P1a=4.1  GPU=2.8  copy=1.1  P3=13.3  P4(GPU)=2.7
03-20 18:36:28.803 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.3ms  P1a=4.6  GPU=2.8  copy=1.1  P3=15.1  P4(GPU)=2.7
03-20 18:36:30.003 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.2ms  P1a=4.2  GPU=2.8  copy=1.1  P3=15.4  P4(GPU)=2.7
03-20 18:36:31.201 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.7ms  P1a=3.8  GPU=2.7  copy=1.1  P3=14.8  P4(GPU)=2.9
03-20 18:36:32.402 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.3ms  P1a=4.2  GPU=2.8  copy=1.2  P3=14.5  P4(GPU)=2.7
03-20 18:36:33.598 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.0ms  P1a=3.2  GPU=2.8  copy=1.0  P3=13.5  P4(GPU)=2.6
03-20 18:36:34.801 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.5ms  P1a=4.4  GPU=2.8  copy=1.0  P3=13.5  P4(GPU)=2.8
03-20 18:36:36.001 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.9ms  P1a=3.1  GPU=2.7  copy=1.0  P3=14.6  P4(GPU)=4.0
